Lat,Long
45.773450,-127.278232
45.787592,-127.281478
45.791388,-127.282405
45.795198,-127.284508
45.795313,-127.284607
45.798833,-127.288887
45.800898,-127.292712
45.803933,-127.300722
45.804217,-127.301823
45.804857,-127.307942
45.804785,-127.320182
45.804692,-127.332897
45.804427,-127.365875
45.804422,-127.366412
45.803682,-127.442383
45.796378,-128.068960
45.795750,-128.123010
45.794522,-128.228732
45.793000,-128.362647
45.792450,-128.406370
45.789967,-128.603613
45.788620,-128.651235
45.789262,-128.668503
45.789657,-128.672528
45.790170,-128.677768
45.794925,-128.706308
45.822862,-128.833110
45.831933,-128.874293
45.845950,-128.939380
45.900805,-129.193420
45.920568,-129.285008
45.931375,-129.331278
45.934575,-129.350393
45.935642,-129.361972
45.935992,-129.381492
45.934270,-129.414407
45.931053,-129.467828
45.928935,-129.483500
45.927648,-129.490020
45.922637,-129.508728
45.889400,-129.605005
45.886900,-129.612847
45.886758,-129.613293
45.882995,-129.624247
45.882935,-129.624423
45.875803,-129.643902
45.873088,-129.652668
45.872950,-129.653130
45.870190,-129.662372
45.868132,-129.673672
45.866848,-129.686372
45.863542,-129.719093
45.862457,-129.722525
45.859597,-129.727687
45.855612,-129.732197
45.851582,-129.735047
45.844520,-129.738637
45.840848,-129.740122
45.835040,-129.741250
45.821350,-129.743038
45.820455,-129.743155
45.820455,-129.743155
45.821353,-129.743087
45.835597,-129.742015
45.841412,-129.742025
45.848822,-129.743602
45.856248,-129.746098
45.859440,-129.747977
45.862437,-129.750787
45.865058,-129.755227
45.866207,-129.759587
45.870293,-129.778932
45.874562,-129.801738
45.876163,-129.807545
45.883043,-129.829078
45.886165,-129.838163
45.912712,-129.902963
45.928478,-129.936892
45.936048,-129.954055
45.938142,-129.959817
45.940773,-129.968662
45.940778,-129.968680
45.941273,-129.969737
45.755555,-127.278438
45.756397,-127.278400
45.793950,-127.276692
45.800200,-127.275487
45.804580,-127.273298
45.824997,-127.256680
45.825200,-127.256513
45.836028,-127.247875
45.843767,-127.241702
45.820191,-129.736415
45.820255,-129.736330
45.820191,-129.736415
45.820173,-129.736721
45.820173,-129.736721
45.820176,-129.736709
45.820191,-129.736415
45.820223,-129.736393
45.816791,-129.754125
45.816832,-129.754033
45.816791,-129.754125
45.817099,-129.754052
45.816716,-129.754096
45.816791,-129.754125
45.816716,-129.754096
45.817042,-129.753913
45.817433,-129.753623
45.816791,-129.754125
45.816863,-129.754500
45.816863,-129.754500
45.816873,-129.754953
45.816993,-129.755872
45.817105,-129.756630
45.817287,-129.757237
45.817435,-129.757758
